//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	634	599	0	0	0	5	1m	100	1	9006
m	637	599	0	0	0	5	1m	100	1	9001
m	640	599	0	0	0	5	1m	100	1	9002
m	643	599	0	0	0	5	1m	100	1	9003
m	646	599	0	0	0	5	1m	100	1	9010
m	649	599	0	0	0	5	1m	100	1	20402
m	652	599	0	0	0	5	1m	100	1	20084
m	655	599	0	0	0	5	1m	100	1	21359
m	658	599	0	0	0	5	1m	100	1	20359
m	660	593	0	0	0	7	1m	100	1	41019
m	660	590	0	0	0	7	1m	100	1	41029
m	660	587	0	0	0	7	1m	100	1	41039
m	660	584	0	0	0	7	1m	100	1	41049
m	632	593	0	0	0	3	1m	100	1	20011
m	646	585	0	0	0	1	1m	100	1	11000
m	632	590	0	0	0	3	1m	100	1	11001
