//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	444	353	0	0	0	5	1m	100	1	9006
m	441	353	0	0	0	5	1m	100	1	9001
m	438	353	0	0	0	5	1m	100	1	9002
m	435	353	0	0	0	5	1m	100	1	9003
m	432	353	0	0	0	5	1m	100	1	9010
m	429	353	0	0	0	5	1m	100	1	20402
m	426	353	0	0	0	5	1m	100	1	20084
m	423	353	0	0	0	5	1m	100	1	21359
m	420	353	0	0	0	5	1m	100	1	20359
m	423	349	0	0	0	3	1m	100	1	41019
m	423	347	0	0	0	3	1m	100	1	41029
m	423	345	0	0	0	3	1m	100	1	41039
m	423	343	0	0	0	3	1m	100	1	41049
m	442	349	0	0	0	7	1m	100	1	20011
m	442	347	0	0	0	7	1m	100	1	11003
m	431	346	0	0	0	7	1m	100	1	11002
