//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//Düello Server NPC
m	402	654	0	0	0	7	1m	100	1	9006
m	402	651	0	0	0	7	1m	100	1	9001
m	402	648	0	0	0	7	1m	100	1	9002
m	402	645	0	0	0	7	1m	100	1	9003
m	402	642	0	0	0	7	1m	100	1	9010
m	402	639	0	0	0	7	1m	100	1	20402
m	402	636	0	0	0	7	1m	100	1	20084
m	402	633	0	0	0	7	1m	100	1	21359
m	402	630	0	0	0	7	1m	100	1	20359
m	391	629	0	0	0	1	1m	100	1	41019
m	388	629	0	0	0	1	1m	100	1	41029
m	385	629	0	0	0	1	1m	100	1	41039
m	382	629	0	0	0	1	1m	100	1	41049
m	391	656	0	0	0	5	1m	100	1	20011
m	383	640	0	0	0	0	1m	100	1	11004
m	388	656	0	0	0	5	1m	100	1	11005
